AirportName,RadioId,RadioName,RadioFrequency,Designator,Id
CHARLOTTESVILLE ALBEMARLE,,CTAF,124.5,KCHO,2639
Chateauroux Deols,,TWR,125.87,LFLX,2640
CHATHAM KENT,,CTAF,123.2,CNZ3,2641
CHAUTAUQUA CO DUNKIRK,,APP/DEP,126.5,KDKK,2642
CHEDDI JAGAN INTL,,APP,119.4,SYCJ,2643
CHENNAI INTL,,TWR,118.1,VOMM,2644
Cherbourg Maupertus,,APP,119.35,LFRC,2645
Cherry Point MCAS,,APP/DEP,132.57,KNKT,2646
CHERTOVITSKOYE,,TWR,118.3,UUOO,2647
CHEYENNE RGNL JERRY OLSON FLD,,APP/DEP,124.55,KCYS,2648
Chicago Executive,,CTAF,119.9,KPWK,2649
Chicago Meigs,,CTAF,121.3,KCGX,2650
Chicago Midway Intl,,Clearance delivery,121.85,KMDW,2651
CHICAGO OHARE INTL,,ASOS,135.4,KORD,2652
CHILLICOTHE MUNI,,CTAF,122.8,KCHT,2653
CHING CHUAN KANG AB,,APP,130.1,RCMQ,2654
Chino,,CTAF,118.5,KCNO,2655
CHIPMAN,,CTAF,123.2,CCS4,2656
CHIPPEWA VALLEY RGNL,,TWR,118.57,KEAU,2657
CHISHOLM HIBBING,,Clearance delivery,127.4,KHIB,2658
CHITOSE,,APP,124.7,RJCJ,2659
CHRIS HADFIELD,,CTAF,123,CYZR,2660
CHUBU CENTRAIR INTL,,TWR,126.2,RJGG,2661
Chumphon,,TWR,122.15,VTSE,2662
CIELO DORADO ESTATES,,UNICOM,122.8,TA50,2663
Cincinnati Northern Kentucky Intl,,APP,123.87,KCVG,2664
CITY CENTRE,,CTAF,118.2,CYTZ,2665
CLAREMORE RGNL,,CTAF,122.7,KGCM,2666
CLARENVILLE,,CNTR,132.1,CCZ3,2667
CLEARWATER AIR PARK,,CTAF,123,KCLW,2668
Clermont Ferrand Aulnat,,Ground,121.95,LFLC,2669
CLINTON SHERMAN,,UNICOM,122.95,KCSM,2670
CLUCK RANCH,,CTAF,122.9,2E3,2671
COBB CO MC COLLUM FLD,,UNICOM,122.7,KRYY,2672
COCHIN,,APP,124.7,VOCC,2673
COCHRAN,,CTAF,122.8,48A,2674
COEUR D ALENE AIR TERMINAL,,APP/DEP,132.1,KCOE,2675
COIMBRA,,RDO,122.9,LPCO,2676
COLD LAKE,,DEP,124.5,CYOD,2677
COLES CO MEM,,ASOS,109.4,KMTO,2678
COLLIQUE,,TWR,126,SPOL,2679
COLORADO CITY MUNI,,CTAF,122.7,KAZC,2680
Colorado Springs Municipal,,ATIS,125,KCOS,2681
COLUMBIA METROPOLITAN,,Clearance delivery,119.75,KCAE,2682
Columbia Rgnl,,APP/DEP,124.37,KCOU,2683
COLUMBUS AFB,,TWR,128.65,KCBM,2684
COLUMBUS LOWNDES CO,,CTAF,122.8,KUBS,2685
Columbus Muni,,CTAF,118.6,KBAK,2686
COMANCHE CO,,CTAF,122.9,3K8,2687
Concord Rgnl,,Ground,121.85,KJQF,2688
Conrad,,CTAF,122.8,S01,2689
Coolah,,CTAF,126.7,YCAH,2690
CORLU,,Ground,121.9,LTBU,2691
CORNWALL RGNL,,CNTR,135.25,CYCC,2692
CORPUS CHRISTI INTL,,APP/DEP,120.9,KCRP,2693
CORTLAND CO CHASE FLD,,APP,126.12,N03,2694
COTABATO,,TWR,123.3,RPMC,2695
COTTBUS DREWITZ,,TWR,132.65,EDCD,2696
Courbessac,,FSS,119.7,LFME,2697
COVENAS,,TWR,126.2,SKCV,2698
CRAIG FLD,,APP/DEP,124,KSEM,2699
Craig Muni,,DEP,124.9,KCRG,2700
CRANFIELD,,TWR,122.85,EGTC,2701
CREECH AFB,,TWR,118.3,KINS,2702
CRISFIELD MUNI,,CTAF,122.8,W41,2703
Crystal River,,AWOS,118.32,KCGC,2704
Curacao Hato,,TWR,118.3,TNCC,2705
CURTIS FLD,,CTAF,122.8,KBBD,2706
Cut Bank Muni,,ASOS,119.02,KCTB,2707
CYPRESS RIVER,,CTAF,122.9,24F,2708
Dallas Fort Worth Intl,,APP,263.02,KDFW,2709
Dallas Love Fld,,Clearance delivery,127.9,KDAL,2710
DANBURY MUNI,,CTAF,119.4,KDXR,2711
DANE CO RGNL TRUAX FLD,,UNICOM,122.95,KMSN,2712
Daniel Fld,,ASOS,135.27,KDNL,2713
Darlington Co Jetport,,Clearance delivery,118.55,KUDG,2714
Darwin Intl,,APP,134.1,YPDN,2715
DAVENPORT MUNI,,Clearance delivery,118.35,KDVN,2716
David Wayne Hooks Mem,,Ground,121.8,KDWH,2717
DAVIS MONTHAN AFB,,APP/DEP,125.1,KDMA,2718
DAYTON WRIGHT BROTHERS,,ASOS,118.37,KMGY,2719
Deauville Saint Gatien,,APP,120.35,LFRG,2720
DEBLIN,,TWR,128.5,EPDE,2721
DECATUR,,ATIS,126.35,KDEC,2722
DEERING,,CNTR,119.2,PADE,2723
DEHRADUN,,TWR,122.3,VIDN,2724
DEL CARIBE INTL GEN SANTIAGO MARINO,,Ground,121.9,SVMG,2725
DELAWARE CO JOHNSON FLD,,UNICOM,122.95,KMIE,2726
Delta Downs,,CTAF,126.7,YDLT,2727
DENNIS F CANTRELL FLD,,Clearance delivery,121.2,KCWS,2728
DENTON MUNI,,Ground,123.95,KDTO,2729
DENVER INTL,,ATIS,125.6,KDEN,2730
DENVER INTL,,DEP,128.45,KDEN,2731
DESSAU,,TWR,125.8,EDAD,2732
Detroit City,,ATIS,124.87,KDET,2733
Detroit Metro Wayne Co,,DEP,125.52,KDTW,2734
DIAGORAS,,TWR,118.2,LGRP,2735
DIBRUGARH,,TWR,123.5,VEMN,2736
DICKINSON THEODORE ROOSEVELT RGNL,,CTAF,123,KDIK,2737
Dirranbandi,,CTAF,126.7,YDBI,2738
Djerba Zarzis,,TWR,118.15,DTTJ,2739
Dok Rai,,Ground,122.77,VTX9,2740
Duesseldorf,,ATIS,123.77,EDDL,2741
DULUTH INTL,,APP/DEP,125.45,KDLH,2742
Dundee,,TWR,122.9,EGPN,2743
DURANGO INTL,,TWR,118.1,MMDO,2744
DUSHANBE,,Ground,121.7,UTDD,2745
DUTCHESS CO,,ASOS,126.75,KPOU,2746
DYESS AFB,,TWR,133,KDYS,2747
Eastern Wv Rgnl Shepherd Fld,,UNICOM,122.95,KMRB,2748
ECHO BAY,,CTAF,122.8,0L9,2749
EDINBURG INTL,,APP,121,KEBG,2750
Edmonton City Centre (Blatchford Fld),,ATIS,114.9,CYXD,2751
Eduardo Gomes,,APP,119.1,SBEG,2752
EGGENFELDEN,,TWR,120.65,EDME,2753
EGLIN AFB,,APP/DEP,132.1,KVPS,2754
EILAT,,TWR,119,LLET,2755
EL BEIDA,,TWR,118.1,HLLQ,2756
EL EDEN,,TWR,118.5,SKAR,2757
El Gallito,,CTAF,122.8,MGLL,2758
EL MONTE,,CTAF,121.2,KEMT,2759
Brussels Airport,,ATIS,121.75,EBBR,2760
Brussels South - Charleroi,,ATIS,134.62,EBCI,2761
BRYCE CANYON,,CTAF,122.8,KBCE,2762
BUCHEL,,APP,130.15,ETSB,2763
BUCKLEY AFB,,APP/DEP,128.45,KBKF,2764
Budapest Ferihegy,,Ground,121.9,LHBP,2765
Bundaberg,,CTAF,126.9,YBUD,2766
Burirum,,TWR,119.9,VTUO,2767
Burke Lakefront,,ATIS,125.25,KBKL,2768
BURLINGTON ALAMANCE RGNL,,ASOS,135.32,KBUY,2769
BUSHEHR,,APP,131.4,OIBB,2770
Butterworth,,APP,123.2,WMKB,2771
BYERLEY,,CTAF,122.9,0M8,2772
CABO FRIO,,RDO,132.15,SBCB,2773
CADJEHOUN,,TWR,118.7,DBBB,2774
CAERNARFON,,RDO,122.25,EGCK,2775
Cagliari Elmas,,Ground,121.6,LIEE,2776
CAIRO WEST,,APP,125.3,HECW,2777
CALABOZO,,TWR,121.9,SVCL,2778
CALDWELL MUNI,,CTAF,122.9,KRWV,2779
Calgary Springbank,,ATIS,127.9,CYBW,2780
CALIFORNIA CITY MUNI,,CTAF,122.7,L71,2781
CAMARILLO,,TWR,128.2,KCMA,2782
CAMBRIDGE MUNI,,CTAF,123.07,KCBG,2783
Camden,,CTAF,120.1,YSCN,2784
CAMDENTON MEM,,APP/DEP,124.1,H21,2785
Camp Pendleton MCAS,,Clearance delivery,126.2,KNFG,2786
Campbell River,,CTAF,122,CYBL,2787
Campo Delio Jardim de Mattos,,TWR,118.9,SBAF,2788
Canberra,,ATIS,127.45,YSCB,2789
CANCUN INTL,,APP,120.4,MMUN,2790
CANDO MUNI,,CTAF,122.8,9D7,2791
CANNON AFB,,Ground,121.9,KCVS,2792
Canoas,,TWR,118.5,SBCO,2793
CAPE BLANCO STATE,,CTAF,122.9,5S6,2794
CAPE GIRARDEAU RGNL,,ASOS,120.55,KCGI,2795
CAPE MAY CO,,Clearance delivery,121.7,KWWD,2796
Capital,,APP/DEP,126.15,KSPI,2797
CAPITAL CITY,,ATIS,134.95,KCXY,2798
CAPITAL CITY,,TWR,119.9,KCXY,2799
CAPITAL INTL,,Ground,121.9,ZBAA,2800
CAPITOL,,CTAF,122.7,02C,2801
CARDAK,,APP,121.6,LTAY,2802
CARLISLE,,RDO,123.6,EGNC,2803
Carlos Ibanez Del Campo Intl,,Ground,121.9,SCCI,2804
Carlyle,,CTAF,122.8,CJQ3,2805
Carriel Sur Intl,,TWR,118.1,SCIE,2806
CARTHAGE,,Ground,121.9,DTTA,2807
CASLAV,,TWR,118.25,LKCV,2808
CASSVILLE MUNI,,CTAF,122.9,C74,2809
Castor,,CTAF,123.2,ER2,2810
Cattle Creek,,CTAF,126.7,YCAC,2811
Caumont,,ATIS,120.82,LFMV,2812
Cecil Fld,,UNICOM,122.95,KVQQ,2813
Cedarville,,CTAF,122.8,MI18,2814
CELLE,,APP,130.5,ETHC,2815
Central Illinois Rgnl,,UNICOM,122.95,KBMI,2816
Central Wisconsin,,AWOS,127.45,KCWA,2817
CERRO MORENO INTL,,Ground,121.9,SCFA,2818
CHAKLALA,,ATIS,129.6,OPRN,2819
CHAKLALA,,APP,124.9,OPRN,2820
CHANDIGARH,,APP,122.7,VICG,2821
CHANDLER MUNI,,AWOS,128.32,KCHD,2822
Chantaburi RTN,,Ground,127,VTBC,2823
CHANUTE MARTIN JOHNSON,,ASOS,127.07,KCNU,2824
Charleston Executive,,AWOS,123.77,KJZI,2825
CHARLEVOIX,,CTAF,123,CYML,2826
CHARLO,,MF,122.2,CYCL,2827
Charlotte Douglas Intl,,Clearance delivery,127.15,KCLT,2828
Chateaudun AB,,TWR,122.1,LFOC,2829
Chatham Muni,,APP/DEP,118.2,KCQX,2830
CHAUTAUQUA CO JAMESTOWN,,APP/DEP,126.05,KJHW,2831
CHEBOYGAN CO,,CTAF,122.8,KSLH,2832
CHEONGJU INTL,,TWR,118.7,RKTU,2833
CHEONGJU INTL,,DEP,134.1,RKTU,2834
CHESTERFIELD CO,,Clearance delivery,124.6,KFCI,2835
Chiang Mai Intl,,ATIS,127.2,VTCC,2836
Chicago Executive,,APP/DEP,125,KPWK,2837
Chicago Meigs,,DEP,118.4,KCGX,2838
Chicago Midway Intl,,APP/DEP,126.05,KMDW,2839
CHICAGO OHARE INTL,,Ground,121.75,KORD,2840
CHICAGO OHARE INTL,,TWR,127.92,KORD,2841
CHICAGO ROCKFORD INTL,,TWR,118.3,KRFD,2842
CHIRIACO SUMMIT,,CTAF,122.9,L77,2843
Chisinau Intl,,TWR,118.1,LUKK,2844
Christchurch Intl,,ATIS,127.2,NZCH,2845
Christmas Island,,CTAF,122.8,PLCH,2846
CHUBU CENTRAIR INTL,,DEP,120,RJGG,2847
CINCINNATI MUNI LUNKEN FLD,,Ground,121.9,KLUK,2848
CINCINNATI WEST,,APP/DEP,128.7,I67,2849
Clark Rgnl,,Clearance delivery,118.05,KJVY,2850
CLARKSVILLE MUNI,,CTAF,122.8,H35,2851
Clayton Co Tara Fld,,CTAF,122.72,4A7,2852
Cleveland Hopkins Intl,,APP,126.55,KCLE,2853
CLUJ NAPOCA,,TWR,134.4,LRCL,2854
COCHIN INTL,,APP,119.75,VOCI,2855
Coen,,CTAF,126.7,YCOE,2856
Cognac Chateau Bernard,,APP,122.55,LFBG,2857
COL JAMES JABARA,,ASOS,134.02,KAAO,2858
COLD BAY,,CTAF,123.6,PACD,2859
COLEMAN MUNI,,CTAF,122.8,KCOM,2860
College Park,,APP/DEP,119.85,KCGS,2861
COLLIN CO RGNL AT MC KINNEY,,Ground,121.87,KTKI,2862
Colmar Meyenheim,,APP,118.95,LFSC,2863
COLORADO PLAINS REGIONAL,,CTAF,122.8,KAKO,2864
Colorado Springs Municipal,,DEP,124,KCOS,2865
COLUMBIA,,CTAF,122.8,O22,2866
COLUMBIA GORGE RGNL THE DALLES MUNI,,CTAF,123,KDLS,2867
COLUMBIA METROPOLITAN,,APP/DEP,133.4,KCAE,2868
Columbia Owens Downtown,,CTAF,122.8,KCUB,2869
COLUMBIANA CO,,APP/DEP,124.75,02G,2870
COLUMBUS AFB,,DEP,135.6,KCBM,2871
COLUMBUS METROPOLITAN,,CTAF,120.1,KCSG,2872
Columbus Muni,,APP/DEP,134.85,KBAK,2873
COMANDANTE ESPORA,,APP,124.8,SAZB,2874
COMODORO PIERRESTEGUI,,TWR,118.3,SAAC,2875
Comox,,Ground,119.75,CYQQ,2876
Concord Muni,,Clearance delivery,133.65,KCON,2877
Coningsby,,TWR,124.67,EGXC,2878
Connaught (Knock),,TWR,130.7,EIKN,2879
COOK CO,,APP/DEP,126.6,15J,2880
COOLIDGE MUNI,,CTAF,123.07,P08,2881
Cork,,TWR,121.7,EICK,2882
CORNING MUNI,,CTAF,123,KCRZ,2883
CORONEL CARLOS CIRIANI SANTA ROSA INTL,,TWR,118.4,SPTN,2884
Cottesmore,,Ground,122.1,EGXJ,2885
Coventry,,TWR,119.25,EGBE,2886
COVINGTON MUNI,,APP,120.07,M04,2887
Cowarie,,CTAF,126.7,YCWI,2888
Cowra,,CTAF,126.7,YCWR,2889
Craven Co Rgnl,,ASOS,118.52,KEWN,2890
CRAWFORD,,CTAF,122.8,0CA3,2891
CRISP CO CORDELE,,AWOS,119.32,KCKF,2892
Crockett Houston County,,CTAF,122.9,KDKR,2893
CROOKSTON MUNI KIRKWOOD FLD,,Clearance delivery,118.15,KCKN,2894
CROSS KEYS,,APP/DEP,127.35,17N,2895
CRYSTAL,,Ground,121.6,KMIC,2896
CRYSTAL LAKE,,CTAF,122.8,5M5,2897
CUBA MUNI,,CTAF,122.9,KUBX,2898
CULDROSE,,TWR,123.3,EGDR,2899
CULPEPER RGNL,,APP/DEP,124.65,KCJR,2900
Curitiba Bacacheri,,APP,129.55,SBBI,2901
Cyril E King,,CTAF,118.8,TIST,2902
DALAMAN,,APP,119.22,LTBS,2903
DALHART MUNI,,CTAF,122.95,KDHT,2904
DALLAS EXECUTIVE,,ATIS,126.35,KRBD,2905
DALLAS EXECUTIVE,,Ground,121.7,KRBD,2906
Dallas Fort Worth Intl,,Ground,121.8,KDFW,2907
Dallas Fort Worth Intl,,DEP,290.35,KDFW,2908
DALTON MUNI,,AWOS,127.65,KDNN,2909
DANANG INTL,,TWR,125,VVDN,2910
DANE CO RGNL TRUAX FLD,,DEP,126.85,KMSN,2911
Daru,,AWOS,127.7,AYDU,2912
DAVENPORT,,CTAF,122.9,NM39,2913
DAVID JAY PERRY,,APP/DEP,120.45,1K4,2914
Eagle Creek Airpark,,APP/DEP,119.05,KEYE,2915
EARECKSON AS,,CTAF,127.2,PASY,2916
EAST KANSAS CITY,,APP/DEP,119,3GV,2917
EASTERN OREGON RGNL AT PENDLETON,,TWR,119.7,KPDT,2918
EASTERWOOD FLD,,TWR,118.5,KCLL,2919
EASTON NEWNAM FLD,,CTAF,122.95,KESN,2920
Eduardo Gomes,,TWR,118.3,SBEG,2921
EDWARD G PITKA SR,,CTAF,123,PAGA,2922
Edwards AFB Rogers Dry Lake,,APP/DEP,132.75,KEDW,2923
EGGENFELDEN,,ATIS,125.07,EDME,2924
EGLIN AFB,,APP/DEP,125.1,KVPS,2925
EKALAKA,,CTAF,122.9,97M,2926
EL CALAFATE,,APP,119.95,SAWC,2927
EL MONTE,,ATIS,118.75,KEMT,2928
EL PALOMAR,,TWR,118.9,SADP,2929
El Questro,,CTAF,127.6,YEQO,2930
El Salvador Intl,,Clearance delivery,121.25,MSLP,2931
Brussels South - Charleroi,,ATIS,115.7,EBCI,2932
BRYANSK,,APP,119.2,UUBP,2933
BRYCE CANYON,,ASOS,135.47,KBCE,2934
BUCHEL,,APP,123.3,ETSB,2935
BUCKEYE MUNI,,CTAF,122.8,KBXK,2936
BUCKLEY AFB,,TWR,121,KBKF,2937
Budapest Ferihegy,,ATIS,132.37,LHBP,2938
Budel,,TWR,122.15,EHBD,2939
BUNYU,,TWR,122.1,WALV,2940
Burgos,,CTAF/UNICOM,122.4,LEBG,2941
Burke Lakefront,,ASOS,125.25,KBKL,2942
Burketown,,CTAF,126.7,YBKT,2943
Burns Muni,,CTAF,122.8,KBNO,2944
BUSHEHR,,APP,122.2,OIBB,2945
BUTLER CHOCTAW CO,,APP/DEP,119.2,09A,2946
Butterworth,,TWR,118.3,WMKB,2947
BUTTONVILLE MUNI,,DEP,133.4,CYKZ,2948
Caboolture,,CTAF,126.7,YCAB,2949
CAIRO WEST,,TWR,131.2,HECW,2950
CALABOZO,,TWR,118.45,SVCL,2951
CALDWELL MUNI,,AWOS,118.35,KRWV,2952
CALIFORNIA CITY MUNI,,AWOS,120.87,L71,2953
CAMARILLO,,Ground,121.8,KCMA,2954
CAMBRIDGE MUNI,,AWOS,118.52,KCBG,2955
Camden,,ATIS,125.1,YSCN,2956
CAMDENTON MEM,,CTAF,122.8,H21,2957
Campbell River,,ATIS,128.55,CYBL,2958
Campo Delio Jardim de Mattos,,Ground,121.85,SBAF,2959
Canberra,,ATIS,116.7,YSCB,2960
CANCUN INTL,,TWR,118.6,MMUN,2961
CANNON AFB,,Clearance delivery,120.2,KCVS,2962
Canoas,,Ground,121.7,SBCO,2963
CAP FAP DAVID ABENZUR RENGIFO INTL,,APP,118.1,SPCL,2964
CAPE MAY CO,,CTAF,122.7,KWWD,2965
Capital,,APP/DEP,118.6,KSPI,2966
CAPITAL CITY,,Ground,121.9,KCXY,2967
CAPITAL INTL,,Ground,121.7,ZBAA,2968
CAPITAN CARLOS MARTINEZ DE PINILLOS,,APP,118.7,SPRU,2969
CARAJAS,,RDO,131.7,SBCJ,2970
CARDAK,,TWR,122.1,LTAY,2971
CARL FOLSOM,,CTAF,122.9,14J,2972
CARLISLE,,TWR,123.6,EGNC,2973
CARMI MUNI,,APP/DEP,127.35,KCUL,2974
Carriel Sur Intl,,Ground,121.9,SCIE,2975
CARROLL CO TOLSON,,APP/DEP,125.5,KTSO,2976
CARTHAGE,,ATIS,118.67,DTTA,2977
Catania Fontanarossa,,APP,120.8,LICC,2978
Cecil Fld,,CTAF,126.1,KVQQ,2979
CELLE,,TWR,122.1,ETHC,2980
Central Illinois Rgnl,,CTAF,124.6,KBMI,2981
Central Wisconsin,,ATIS,127.45,KCWA,2982
CHAKLALA,,TWR,125.5,OPRN,2983
CHANDIGARH,,TWR,123.5,VICG,2984
CHANDLER MUNI,,ATIS,128.32,KCHD,2985
CHANDRAGADHI,,AFIS,122.5,VNCG,2986
Charles M Schulz Sonoma Co,,TWR,118.5,KSTS,2987
Charles M Schulz Sonoma Co,,APP/DEP,127.8,KSTS,2988
Charlotte Douglas Intl,,UNICOM,122.95,KCLT,2989
Chatham Muni,,Clearance delivery,127.3,KCQX,2990
CHAUTAUQUA CO JAMESTOWN,,CTAF,122.7,KJHW,2991
CHEBOYGAN CO,,AWOS,118.17,KSLH,2992
CHEONGJU INTL,,Ground,120.65,RKTU,2993
CHEONGJU INTL,,DEP,134,RKTU,2994
CHEROKEE CO,,APP/DEP,121,47A,2995
CHESTERFIELD CO,,CTAF,123.05,KFCI,2996
Chicago Executive,,APP/DEP,120.55,KPWK,2997
Chicago Meigs,,APP,126.05,KCGX,2998
Chicago Midway Intl,,APP/DEP,118.4,KMDW,2999
CHICAGO OHARE INTL,,Ground,121.67,KORD,3000
CHICAGO OHARE INTL,,TWR,126.9,KORD,3001
CHICAGO ROCKFORD INTL,,Ground,121.9,KRFD,3002
Chievres AB,,DEP,126.62,EBCV,3003
CHINGGIS KHAAN INTL,,APP,120,ZMUB,3004
CHIPPEWA CO INTL,,CTAF,123,KCIU,3005
Chisinau Intl,,Ground,121.8,LUKK,3006
CHITRAL,,TWR,122.5,OPCH,3007
Choteau,,CTAF,122.8,KCII,3008
CHUBU CENTRAIR INTL,,APP,121.17,RJGG,3009
CINCINNATI MUNI LUNKEN FLD,,Clearance delivery,124.9,KLUK,3010
CINCINNATI MUNI LUNKEN FLD,,APP/DEP,121,KLUK,3011
CINCINNATI WEST,,CTAF,123,I67,3012
Cirebon Panggung,,RDO,122.1,WIIC,3013
CITY CENTRE,,DEP,133.4,CYTZ,3014
Claresholm Indus,,CTAF,123,EJ4,3015
Clark Rgnl,,CTAF,122.7,KJVY,3016
Clayton Co Tara Fld,,AWOS,124.82,4A7,3017
Cleveland Hopkins Intl,,TWR,135.22,KCLE,3018
CLIFF HATFIELD MEM,,CTAF,122.9,KCLR,3019
CLINTON CO,,APP/DEP,126.3,KPLB,3020
Cloncurry,,CTAF,126.7,YCCY,3021
COCHIN INTL,,TWR,118.8,VOCI,3022
Cognac Chateau Bernard,,TWR,122.55,LFBG,3023
COLD BAY,,ASOS,135.75,PACD,3024
College Park,,CTAF,122.97,KCGS,3025
COLLIN CO RGNL AT MC KINNEY,,Clearance delivery,121.35,KTKI,3026
Colmar Meyenheim,,TWR,122.1,LFSC,3027
COLORADO PLAINS REGIONAL,,ASOS,135.57,KAKO,3028
Colorado Springs Municipal,,APP,118.5,KCOS,3029
COLUMBIA GORGE RGNL THE DALLES MUNI,,ASOS,135.17,KDLS,3030
Columbia Owens Downtown,,ASOS,119.67,KCUB,3031
COLUMBIANA CO,,CTAF,123,02G,3032
COLUMBUS AFB,,DEP,132.02,KCBM,3033
COLUMBUS METROPOLITAN,,ATIS,127.75,KCSG,3034
Columbus Muni,,TWR,118.6,KBAK,3035
COMANCHE CO CITY,,CTAF,122.8,KMKN,3036
COMANDANTE ESPORA,,APP,119.15,SAZB,3037
Comox,,Clearance delivery,123.7,CYQQ,3038
Concord Muni,,CTAF,122.7,KCON,3039
Coningsby,,TWR,122.1,EGXC,3040
Connaught (Knock),,Ground,121.9,EIKN,3041
COOK CO,,APP/DEP,119.52,15J,3042
CORDELL MUNI,,CTAF,122.9,F36,3043
Cork,,TWR,119.3,EICK,3044
CORLU,,APP,122.1,LTBU,3045
CORONEL ENRIQUE SOTO CANO AB,,APP,125.8,MHSC,3046
Corowa,,CTAF,126.7,YCOR,3047
COUNTY MEM,,CTAF,122.8,KEIW,3048
COVINGTON MUNI,,CTAF,123,M04,3049
Cozumel Intl,,DEP,119.8,MMCZ,3050
Crockett Houston County,,AWOS,118.77,KDKR,3051
CROOKSTON MUNI KIRKWOOD FLD,,CTAF,122.7,KCKN,3052
CROSS KEYS,,CTAF,122.8,17N,3053
CROTONE,,TWR,119.1,LIBC,3054
Croydon,,CTAF,126.7,YCRY,3055
CRYSTAL,,Clearance delivery,121.6,KMIC,3056
Cuatro Vientos,,TWR,139.3,LEVS,3057
CULDROSE,,TWR,122.1,EGDR,3058
Curitiba Bacacheri,,TWR,118.9,SBBI,3059
CUSTER STATE PARK,,CTAF,122.9,3V0,3060
CUYAHOGA CO,,APP/DEP,125.35,KCGF,3061
Cyril E King,,ATIS,124,TIST,3062
D G KHAN,,TWR,121.8,OPDG,3063
DAGALI,,TWR,121.3,ENDI,3064
DALAMAN,,TWR,128.9,LTBS,3065
DALHART MUNI,,ASOS,134.07,KDHT,3066
DALLAS EXECUTIVE,,Clearance delivery,118.62,KRBD,3067
Dallas Fort Worth Intl,,Ground,121.65,KDFW,3068
Dallas Fort Worth Intl,,DEP,126.47,KDFW,3069
DANANG INTL,,Ground,121.9,VVDN,3070
DANBURY MUNI,,APP/DEP,126.4,KDXR,3071
DANE CO RGNL TRUAX FLD,,APP,135.45,KMSN,3072
Daniel Fld,,APP/DEP,126.8,KDNL,3073
DARKE CO,,APP/DEP,134.45,KVES,3074
Darlot,,CTAF/UNICOM,126.7,YDLO,3075
DAVID JAY PERRY,,CTAF,122.7,1K4,3076
Duesseldorf,,Ground,121.9,EDDL,3077
Dunedin,,TWR,129.3,NZDN,3078
DUNNELLON MARION CO PARK OF COMMERCE,,APP/DEP,118.6,X35,3079
Durban Intl,,APP,119.9,FADN,3080
DUTCH JOHN,,CTAF,122.9,33U,3081
Eagle Creek Airpark,,ASOS,126.42,KEYE,3082
EAGLES NEST,,CTAF,122.9,21VA,3083
East London,,APP,118.3,FAEL,3084
East Sale (Military),,Ground,134.1,YMES,3085
EAST TEXAS RGNL,,APP/DEP,128.75,KGGG,3086
EASTERWOOD FLD,,Ground,128.7,KCLL,3087
EASTON NEWNAM FLD,,AWOS,124.47,KESN,3088
ED AIR,,UNICOM,122.8,KOTN,3089
Edmonton Josephburg,,CTAF,123.5,FB6,3090
EDWARDS CO,,DEP,119.6,KECU,3091
Eelde,,APP,119.7,EHGG,3092
EGILSSTADIR,,RDO,119.4,BIEG,3093
EIELSON AFB,,ASOS,119.27,PAEI,3094
Eindhoven,,Ground,121.92,EHEH,3095
EKET,,AFIS,122.1,DN55,3096
EL ARISH INTL,,APP,123.72,HEAR,3097
EL EMBRUJO,,APP,119.3,SKPV,3098
EL LIBERTADOR AB,,TWR,122.5,SVBL,3099
El Paso Intl,,Clearance delivery,125,KELP,3100
EL PLUMERILLO,,APP,122.1,SAME,3101
El Reno Regional,,CTAF,122.8,KRQO,3102
ELDORADO,,CTAF,123,SATD,3103
BRUNSWICK NAS,,ATIS,120.55,KNHZ,3104
Brussels Airport,,Ground,121.87,EBBR,3105
BUCHANAN FLD,,TWR,119.7,KCCR,3106
BUCKEBURG,,APP,123.3,ETHB,3107
Buffalo Niagara Intl,,APP/DEP,126.5,KBUF,3108
Bunge,,TWR,123.4,ESVB,3109
Burgas,,TWR,119.9,LBBG,3110
BURLEY MUNI,,ASOS,135.57,KBYI,3111
BURNET MUNI KATE CRADDOCK FLD,,ASOS,119.92,KBMQ,3112
C DAVID CAMPBELL FLD CORSICANA MUNI,,ASOS,120.67,KCRS,3113
CABLE,,CTAF,123,KCCB,3114
CAIRNS AAF,,CTAF,135.2,KOZR,3115
Cairns Intl,,TWR,124.9,YBCS,3116
Calais Dunkerque,,TWR,128.92,LFAC,3117
Caledonia Co,,AWOS,119.27,6B8,3118
CALGARY INTL,,TWR,118.4,CYYC,3119
CAMDEN CO,,APP/DEP,124.15,19N,3120
CAMERI,,TWR,139.1,LIMN,3121
CAMERON MUNI AIRPARK,,CTAF,122.9,T35,3122
CAMILO DAZA,,APP,119.9,SKCC,3123
Camp Pendleton MCAS,,APP/DEP,128.45,KNFG,3124
Campo Dell Oro,,Ground,121.7,LFKJ,3125
CAMPO FONTENELLE,,APP,122.4,SBYS,3126
Canberra,,APP,124.5,YSCB,3127
Candillargues,,TWR,118.77,LFNG,3128
CAP D OMAR DARIO GERARDI,,TWR,118.5,SACA,3129
Cape Town International,,ATIS,127,FACT,3130
CAPITAL CITY,,APP/DEP,124.1,KCXY,3131
CAPITAL CITY,,CTAF,122.8,KCXY,3132
CAPITAL INTL,,APP,120.6,ZBAA,3133
CARLOS MANUEL DE CESPEDES,,TWR,123.6,MUBY,3134
CARNEGIE MUNI,,CTAF,122.9,86F,3135
CARROLL CO,,CTAF,122.9,KHZD,3136
CARTHAGE LEAKE CO,,CTAF,122.9,08M,3137
