AirportName,RadioId,RadioName,RadioFrequency,Designator,Id
FALLS INTL,,CTAF,122.8,KINL,119
FALSE RIVER RGNL,,CTAF,122.8,KHZR,120
FARFAN,,TWR,118.6,SKUL,121
FARIAS WHEEL,,CTAF,122.9,NV33,122
FARIBAULT MUNI,,AWOS,111.2,KFBL,123
FARIBAULT MUNI,,APP/DEP,125,KFBL,124
FARMINGTON RGNL,,AWOS,119.27,KFAM,125
FARMINGTON RGNL,,CTAF,122.8,KFAM,126
Farmville Rgnl,,AWOS,132.72,KFVX,127
Farmville Rgnl,,CTAF,122.8,KFVX,128
FARNBOROUGH,,APP,130.05,EGLF,129
FARNBOROUGH,,APP,134.35,EGLF,130
FARO,,CTAF/UNICOM,122.1,CZFA,131
Faro,,Ground,118.57,CZFA,132
FASCENE,,TWR,118.7,FMNN,133
FASSBERG,,TWR,122.1,ETHS,134
FASSBERG,,APP,123.3,ETHS,135
FAUSTO VEGA SANTANDER,,UNICOM,122.5,MM31,136
FAUVILLE,,ATIS,138.22,LFOE,137
FAUVILLE,,TWR,119.7,LFOE,138
FAUVILLE,,TWR,125.37,LFOE,139
FAYA LARGEAU,,AFIS,118.1,FTTY,140
FAYETTE CO,,CTAF,122.8,I23,141
FAYETTE CO,,APP/DEP,134.35,I23,142
FAYETTE COUNTY,,AWOS,119.87,KFYE,143
FAYETTE COUNTY,,APP,125.8,KFYE,144
FAYETTE RGNL AIR CNTR,,CTAF,122.7,3T5,145
FAYETTEVILLE MUNI,,CTAF,122.8,KFYM,146
Fayetteville Rgnl Grannis Fld,,ATIS,121.25,KFAY,147
Fayetteville Rgnl Grannis Fld,,TWR,118.3,KFAY,148
Fayetteville Rgnl Grannis Fld,,APP/DEP,125.17,KFAY,149
FELKER AAF,,Ground,121.35,KFAF,150
FELKER AAF,,APP/DEP,125.7,KFAF,151
Felts Fld,,CTAF,132.5,KSFF,152
Felts Fld,,Ground,121.7,KSFF,153
Felts Fld,,APP/DEP,133.35,KSFF,154
FENGNIN,,ATIS,127,RCFN,155
FENGNIN,,TWR,118.1,RCFN,156
FENGNIN,,TWR,121.9,RCFN,157
FENGNIN,,APP,123.1,RCFN,158
Fentress Nalf,,ATIS,127.15,KNFE,159
Fentress Nalf,,Ground,121.9,KNFE,160
Fentress Nalf,,APP,119.6,KNFE,161
Fentress Nalf,,APP,118.9,KNFE,162
FERGANA,,TWR,120.95,UT1S,163
Feringe,,TWR,122.25,ESMG,164
FERNANDINA BEACH MUNI,,CTAF,122.7,55J,165
FERNANDO AB,,TWR,133,RPUL,166
FERNANDO LUIS RIBAS DOMINICCI,,ATIS,120.4,TJIG,167
FERNANDO LUIS RIBAS DOMINICCI,,CTAF,135.87,TJIG,168
FERNANDO LUIS RIBAS DOMINICCI,,TWR,135.87,TJIG,169
FERNANDO LUIS RIBAS DOMINICCI,,CNTR,120.9,TJIG,170
FERTOSZENTMIKLOS,,TWR,124.45,LHFM,171
FESTUS MEM,,CTAF,122.7,KFES,172
Figari/Sud Corse,,ATIS,118.72,LFKF,173
Figari/Sud Corse,,APP,121.05,LFKF,174
FILIPPOS,,AFIS,118.2,LGKZ,175
FILLMORE CO,,AWOS,118.92,KFKA,176
DONALDSON CENTER,,Clearance delivery,125.95,KGYH,177
