Make,Model,Horsepower,WeightEmpty,FuelCapacity,WeightGross,SpeedTop,SpeedCruise,SpeedStall,Range,TakeoffGroundRoll,LandingGroundRoll,Takeoff50ftObst,Landing50ftObst,RateOfClimb,RateOfClimbSingle,Ceiling,CeilingSingle,FuelBurn,Id
Cessna,421 pressurized/turbocharged,375,4237,170,6800,240,222,76,826,2012,1045,2516,2110,1700,300,26000,13340,,239
Cessna,421B Golden Eagle,375,4426,175,7450,245,235,74,845,1860,720,2387,2178,1850,305,31000,13000,,240
Cessna,421C Golden Eagle III,375,5048,213,7450,257,241,74,1197,1786,720,2323,2293,1940,350,30200,14900,,241
Cessna,421C Golden Eagle III (1979),375,5048,213,7450,257,241,85,1197,1786,720,2323,2293,1940,350,30200,14900,,242
Cessna,425 Corsair,450,4915,366,8200,263,250,79,1461,2047,952,2341,2145,2027,434,34700,18500,,243
Cessna,441 Conquest,625,5682,475,9850,295,283,76,2193,1785,1095,2465,1875,2435,715,35000,21380,,244
Cessna,650 Citation III (SN 100 and up),3650,11811,7384,22000,472,461,97,2600,0,0,5030,2900,3699,805,51000,23500,,245
Cessna,A 150 L Aerobat (1974),100,1040,26,1600,108,103,42,303,735,445,1385,1075,670,,14000,,,246
Cessna,A 185 E Skywagon,300,1565,65,3350,155,147,51,470,745,480,1330,1400,1040,,17500,,,247
Cessna,A,188,A,B,AG Wagon (1966-71) normal category,300,1845,37,3300,131,123,50,278,610,420,970,1265,940,,15700,,,248
Cessna,A152 (with conical wing tips),110,1141,26,1670,108,105,43,315,725,475,1340,1200,715,,14700,,,249
Cessna,A185 F (Float) (prior to 1979),300,1998,88,3320,141,134,52,522,1430,830,2125,1565,960,,16400,,,250
Cessna,A185 F (ski) (prior to 1979 hasless fuel),300,1842,88,3350,136,131,49,522,0,0,,,860,,15500,,,251
Cessna,A188 AG Truck Restricted,300,2220,54,4200,105,98,50,290,680,420,1090,1265,690,,11100,,,252
Cessna,A188 AG Wagon Restricted,300,2189,37,4000,105,98,50,278,680,420,1090,1265,690,,11100,,,253
Cessna,A188B AG Truck (1979 & up) dispersal system,300,2230,54,4200,106,101,57,290,1410,420,2250,1265,465,,7800,,,254
Cessna,A188B AG Wagon (1979 & up) dispersal system,300,2179,54,4000,107,103,55,290,1250,420,1965,1265,525,,8700,,,255
Cessna,Citation 500 (SN 1- 303),2200,6454,3780,11500,,348,85,1308,0,0,2660,2300,2900,800,41000,18300,,256
Cessna,Citation 500 (SN 1-70),2200,6350,3618,10850,,348,84,1064,0,0,2550,2310,2900,906,35000,21000,,257
Cessna,Citation 500 (SN 303 and higher),2200,6454,3780,11850,,348,85,1308,0,0,2660,2300,2900,800,41000,18300,,258
Cessna,Citation I 500,2200,6684,3780,11850,,351,,1325,0,0,2930,2270,2680,800,41000,21000,,259
Cessna,Citation II 550 (thru SN 626),2500,7388,5008,13300,,385,82,1930,0,0,2990,2270,3370,906,43000,25200,,260
Cessna,Citation II 551,2500,7181,5009,12500,,385,82,2104,0,0,2650,2210,3625,1170,43000,27200,,261
Cessna,P 206 Super Skylane,285,1790,65,3300,154,143,52,565,675,735,1265,1340,1075,,16700,,,262
Cessna,P206A,B,C,D,E,285,1820,65,3600,151,142,53,555,910,735,1810,1395,920,,14800,,,263
Cessna,P210R pressurized,325,2471,85,4100,224,212,55,715,1270,825,2110,1600,1150,,25000,,,264
Cessna,R172K/Hawk XP,195,1572,52,2550,132,130,47,570,800,635,1360,1345,870,,17000,,,265
Cessna,R172K/Hawk XP (1977),195,1572,52,2550,132,130,47,570,850,635,1360,1345,870,,17000,,,266
Cessna,R172K/Hawk XP (floats),195,1834,52,2550,117,116,44,539,1135,675,1850,1390,870,,15500,,,267
Cessna,R182 II RG Turbo Skylane,235,1846,92,3100,187,173,50,845,820,600,1570,1320,1040,,20000,,,268
Cessna,R182-RG II Skylane  (optl EGT reg. on svc. ceil.),235,1809,92,3100,160,156,50,845,820,600,1570,1320,1140,,18000,,,269
Cessna,S550 Citation SII,2500,8049,5820,15000,,403,82,2104,0,0,3240,3050,3000,860,43000,25000,,270
Cessna,T 188C AG Husky (after 1981),310,2322,54,4400,113,106,58,283,1290,420,2060,1265,510,,14000,,,271
Cessna,T 188C AG Husky (prior to 1981),310,2322,54,4400,109,102,58,283,1290,420,2060,1265,510,,14000,,,272
Cessna,T 207 All, Turbo (Stationair 7& 8),310,2254,61,3800,170,161,59,583,1030,765,1860,1500,885,,26000,,,273
Cessna,T 210 F Turbo Centurion,285,1965,65,3300,200,191,54,539,675,735,1265,1340,1280,,31300,,,274
Cessna,T 210 G,H & J Turbo Centurion,285,2050,89,3400,203,194,55,739,800,625,1365,1355,1115,,30200,,,275
Cessna,T 210 K Turbo,285,2180,90,3800,196,178,57,732,1170,765,2030,1500,930,,28500,,,276
Cessna,T 210 L Turbo,285,2180,90,3800,205,187,57,732,1170,765,2030,1500,930,,28500,,,277
Cessna,T 210 M Turbo,310,2306,90,3800,204,197,57,732,1150,765,1900,1500,1030,,28500,,,278
Cessna,T 310 P turbocharged,285,3292,102,5400,239,226,66,807,1250,640,1590,1790,1862,440,28600,18100,,279
Cessna,T 310 Q turbocharged,285,3292,102,5500,238,225,67,807,1306,640,1662,1790,1790,408,28200,17550,,280
Cessna,T 310 R, II turbocharged,285,3723,102,5500,237,223,70,517,1306,640,1662,1790,1700,390,27400,17200,,281
Cessna,T 337 B Skymaster turbocharged,210,2785,93,4300,202,196,57,920,845,590,1490,1500,1250,390,31000,20000,,282
Cessna,T 337 C Skymaster turbocharged,210,2795,93,4500,201,195,59,920,935,600,1595,1520,1155,325,30100,18600,,283
Cessna,T 337 D Skymaster turbocharged,210,2815,93,4500,201,195,61,920,935,700,1595,1650,1155,325,30100,16200,,284
Cessna,T 337 E & F Skymaster turbocharged,210,2850,93,4630,200,194,61,920,1000,700,1675,1650,1105,295,29300,14400,,285
Cessna,T 337 G-P II, H-P, Skymaster pressurized,225,3184,150,4700,211,204,62,939,945,795,1500,1675,1170,375,20000,18700,,286
Cessna,T-182Q II Turbo Skylane,235,1781,92,3100,168,157,49,743,790,590,1475,1350,965,,20000,,,287
Cessna,T-337 H-II Turbo (1979 and later),210,3038,90,4630,207,200,62,1080,1000,700,1675,1650,1160,335,20000,16500,,288
Cessna,T-337 H-II Turbo (prior to 1979),210,3038,90,4630,207,200,62,1080,1000,700,1620,1650,1160,335,20000,16500,,289
Cessna,T210N, Turbo Centurion,310,2303,90,4000,204,192,58,715,1300,765,2160,1500,930,,27000,,,290
Cessna,T210R Turbo Centurion,325,2320,87,4100,224,207,55,715,1270,825,2110,1600,1150,,29000,,,291
Cessna,T303 Crusader,250,3305,155,5000,216,180,62,835,1275,820,1750,1450,1480,220,25000,13000,,292
Cessna,TP 206A,B,C,D,E,285,1915,65,3600,174,160,53,609,910,735,1810,1395,1030,,26300,,,293
Cessna,TU 206 A,B,C,D,,285,1795,65,3600,174,160,53,627,910,735,1810,1395,1030,,26300,,,294
Cessna,TU 206E,F (ski) (after 1976),285,2165,65,3300,145,132,61,626,0,0,,,920,,23500,,,295
Cessna,TU 206E,F (ski) (prior to 1976),285,2165,69,3300,145,132,61,626,0,0,,,920,,23500,,,296
Cessna,TU 206E,F Stationair, Turbo,285,1935,65,3600,174,148,53,580,910,735,1810,1395,1030,,26300,,,297
Cessna,TU 206G II Stationair 6 (float),310,2404,92,3600,155,135,52,640,1810,845,2790,1750,835,,25600,,,298
Cessna,TU 206G Turbo (after 1979),310,2066,92,3600,174,152,54,640,835,735,1640,1395,1010,,27000,,,299
Cessna,TU 206G Turbo (prior to 1979),310,2066,80,3600,174,152,54,550,835,735,1640,1395,1010,,27000,,,300
Cessna,TU206 C,-D,-E,-F (float),285,2295,65,3600,157,143,50,626,1400,710,2400,1610,950,,24200,,,301
Cessna,U206 A,285,1795,65,3600,151,142,53,555,910,735,1810,1340,920,,14800,,,302
Cessna,U206 E,F (ski) Super Skywagon,300,2065,65,3300,121,119,52,510,0,0,,,800,,11500,,,303
Cessna,U206 F (ski) Stationair (1976 specs),300,2133,61,3300,121,118,52,510,0,0,,,800,,11500,,,304
Cessna,U206 F,G II(1975 and after),300,2002,92,3600,156,147,54,680,900,735,1780,1395,920,,14800,,,305
Cessna,U206 G II Stationair 6 float (1979-82),300,2342,92,3500,137,131,51,680,1835,780,2820,1675,925,,13900,,,306
Cessna,U206B,C,D,E Skywagon,300,1725,65,3600,151,143,53,510,900,735,1780,1395,920,,14800,,,307
Cessna,U206E,F,Float (1975-76 specs),300,2200,65,3500,136,131,49,510,1445,695,2475,1570,855,,13900,,,308
Cessna,U206G (Float) Stationair 6,300,2312,61,3500,136,130,53,580,1445,695,2475,1570,855,,13900,,,309
Commander,112,200,1530,60,2550,152,143,53,750,880,680,1460,1310,1000,,17000,,,310
Commander,112A,200,1691,48,2650,149,140,54,569,0,0,1585,1310,1020,,13900,,,311
Commander,112B,200,1773,48,2800,150,142,51,575,0,0,1829,1039,950,,15050,,,312
Commander,112TC, -A, Alpine,210,2035,48,2950,170,163,54,620,0,0,1750,1275,914,,20000,,,313
Commander,114 (1976 has less performance),260,1905,68,3140,166,157,55,665,0,0,1990,1200,1088,,17400,,,314
Commander,114A Gran Turismo,260,2070,68,3260,166,157,54,665,0,0,2150,1200,1030,,16500,,,315
Lake,C-1 Amphibian,150,1450,30,2150,109,97,50,320,750,475,1550,900,700,,9500,,,316
Lake,C-IV Amphibian,180,1520,30,2350,123,117,45,305,650,475,1375,900,800,,13500,,,317
Lake,LA-4 Amphibian,180,1555,40,2400,122,114,39,296,650,475,1275,900,800,,13000,,,318
Lake,LA-4 Seaplane,180,1345,40,2400,125,122,39,296,960,0,1250,,1000,,13500,,,319
Lake,LA-4 Turbo-Lake,180,1575,40,2400,149,143,39,543,650,475,1275,900,800,,20000,,,320
Lake,LA-4-200 Buccaneer (land specs) 1973 & prior,200,1535,40,2600,,130,39,455,660,475,875,900,1200,,14700,,,321
Lake,LA/250 Renegade,250,1850,85,3140,,122,53,1000,0,0,,,900,,12500,,,322
Lake,LA4/200EP,200,1660,48,2690,,127,39,800,0,0,,,980,,12500,,,323
Luscombe,8 E,85,791,30,1400,91,83,37,346,850,450,1850,1540,640,,15500,,,324
Luscombe,8 F,90,870,25,1400,96,83,37,273,850,450,1850,1540,660,,16000,,,325
Luscombe,8A,65,750,14,1260,91,78,37,182,1050,450,1950,1540,550,,14000,,,326
Maule,M-4 & M-4C Jetasen,145,1100,42,2100,157,130,35,750,700,450,900,600,700,,12000,,,327
Maule,M-4-180-C Astro Rocket,180,1250,42,2300,148,135,35,525,0,0,700,600,1000,,17000,,,328
Maule,M-4-210 C Rocket,210,1250,42,2100,157,143,35,500,380,450,585,600,1250,,18000,,,329
Maule,M-4-220C Strata Rocket,220,1280,42,2300,157,152,35,530,400,500,600,650,1250,,19000,,,330
Maule,M-5-180C,180,1300,40,2300,,136,33,525,200,0,800,600,900,,15000,,,331
Maule,M-5-210C Lunar Rocket,210,1350,40,2300,157,137,33,345,150,200,600,600,1250,,18000,,,332
Maule,M-5-210TC (turbocharged),210,1400,40,2300,,170,33,430,150,0,600,600,1250,,20000,,,333
Maule,M-5-220C Lunar Rocket,220,1300,42,2300,157,150,33,485,150,200,585,600,1250,,19000,,,334
Maule,M-5-235C,235,1400,40,2300,,150,33,360,150,300,600,600,1350,,20000,,,335
Maule,M-6 (Land plane),235,1425,40,2500,157,129,38,360,150,0,540,540,1900,,20000,,,336
Maule,M-7-235,235,1500,40,2500,,148,30,478,125,0,600,600,1350,,20000,,,337
Maule,MX-7-160,160,1330,40,2200,,135,40,540,600,0,1180,500,825,,13000,,,338
Maule,MX-7-180A,180,1350,40,2400,,140,40,500,550,0,1150,500,920,,15000,,,339
Mooney,201 (M20J),200,1671,64,2740,175,170,53,690,880,770,1550,1550,1030,,18800,,,340
Mooney,205 (M20J),200,1710,64,2740,178,171,54,690,900,677,1700,1600,1060,,18600,,,341
Mooney,231 (M20K) turbocharged,210,1800,75,2900,201,191,57,980,1220,1147,2060,2280,1080,,24000,,,342
Mooney,252 TSE (M20K),210,1800,75,2900,219,201,59,980,1250,1140,2200,2300,1080,,28000,,,343
Mooney,A 2-A Cadet,90,950,24,1450,112,108,39,456,540,350,1250,1350,640,,17300,,,344
Mooney,M-10 Cadet,90,950,24,1450,103,96,40,484,334,431,953,1016,835,,12500,,,345
Mooney,M-20-A Mark 20A,180,1440,35,2450,165,157,50,513,775,600,1050,1100,1150,,20000,,,346
Mooney,M-20-B Mark 21,180,1525,52,2450,165,158,50,745,775,600,1050,1100,1150,,18500,,,347
Mooney,M-20-C Mark 21,180,1525,52,2575,165,158,50,659,815,595,1250,1550,800,,17200,,,348
Mooney,M-20-C Ranger(1974 thru 1976),180,1525,52,2575,153,150,50,659,815,595,1395,1550,860,,19500,,,349
Mooney,M-20-C Ranger(prior to 1974),180,1525,52,2575,153,150,50,659,815,595,1395,1550,860,,17500,,,350
Mooney,M-20-D Master,180,1455,52,2500,128,117,50,715,750,585,1125,1100,740,,13600,,,351
Mooney,M-20-E Chaparral (1974 and later),200,1600,52,2575,165,160,50,601,760,595,1550,1550,1125,,21200,,,352
Mooney,M-20-E Chaparral (prior to 1974),200,1600,52,2575,165,160,50,601,760,595,1550,1550,1125,,18800,,,353
Mooney,M-20-E Super 21 Chaparral,200,1575,52,2575,171,163,50,601,760,595,1300,1365,1110,,18800,,,354
Mooney,M-20-G Statesman,180,1585,52,2525,155,147,50,627,815,595,1250,1670,875,,17000,,,355
Mooney,M-20-Mark 20,150,1415,35,2450,149,143,50,655,870,600,1150,1100,900,,17200,,,356
Mooney,M-20F Executive 21 (1974 and later),200,1640,64,2740,161,156,54,734,879,785,1385,1786,1055,,18800,,,357
Mooney,M-20F Executive 21 (prior to 74),200,1640,64,2740,161,156,54,734,879,785,1385,1786,1055,,17900,,,358
Mooney,M-22 pressurized,310,2380,92,3680,217,200,60,813,1142,958,2079,1549,1120,,24000,,,359
Piper,J-3 Cub,65,680,9,1220,76,65,33,146,370,290,730,470,450,,11500,,,360
Piper,PA-11,90,730,18,1220,197,87,35,230,350,290,700,470,900,,18000,,,361
Piper,PA-12 Super Cruiser,100,990,30,1750,100,91,43,360,410,360,720,470,575,,12300,,,362
Piper,PA-14 Cruiser,115,1020,30,1850,107,96,40,364,720,470,965,850,600,,12500,,,363
Piper,PA-16 Clipper,115,850,36,1650,109,97,43,368,720,600,925,875,600,,13500,,,364
Piper,PA-18 125 Super Cub,125,845,36,1500,109,97,36,450,420,350,650,725,940,,18500,,,365
Piper,PA-18 135 Super Cub,135,878,36,1750,106,95,37,470,525,350,750,725,870,,17250,,,366
Piper,PA-18 150 Super Cub,150,983,36,1750,113,100,37,400,200,350,500,885,960,,19000,,,367
Piper,PA-18 95 Super Cub,90,800,18,1500,97,87,37,230,452,385,1150,800,710,,15750,,,368
Piper,PA-20 125 Pacer,125,1005,36,1800,117,103,41,450,1210,780,1725,1280,550,,13750,,,369
Piper,PA-20 135 Pacer,135,1020,36,1950,121,109,42,470,1120,780,1600,1280,620,,15000,,,370
Piper,PA-22 108 Colt,108,940,36,1650,104,94,47,415,950,500,1500,1250,610,,12000,,,371
Piper,PA-22 135 Tri-Pacer,135,1060,36,1850,119,107,42,470,1120,650,1600,1280,620,,15000,,,372
Piper,PA-22 150 Tri-Pacer,150,1060,36,1950,122,113,43,430,1120,650,1600,1280,750,,16000,,,373
Piper,PA-22 160 Tri-Pacer,160,1110,36,2000,123,117,42,435,1035,650,1480,1280,800,,16500,,,374
Piper,PA-23 C Aztec,250,2933,144,5200,188,179,59,758,820,860,1250,1680,1490,240,19800,6400,,375
Piper,PA-23 C Turbo Aztec,250,3123,144,5200,223,205,59,645,820,850,1250,1250,1490,240,30000,18500,,376
Piper,PA-23 D Turbo Aztec,250,3123,140,5200,223,205,59,645,820,850,1250,1250,1490,240,30000,18500,,377
Piper,PA-23 D,E Aztec,250,3042,144,5200,188,183,59,722,820,850,1250,1250,1490,240,21100,6400,,378
Piper,PA-23 E Turbo Aztec,250,3229,144,5200,220,197,59,620,820,850,1250,1250,1530,265,30000,18700,,379
Piper,PA-23 F Aztec (after 1977),250,3184,137,5200,,178,55,680,1190,951,1980,1585,1400,235,17600,4800,,380
Piper,PA-23 F Aztec (prior to 1977),250,3184,144,5200,,178,55,680,1190,951,1980,1585,1400,235,17600,4800,,381
Piper,PA-23 F Turbo Aztec (after 1977),250,3323,137,5200,,215,55,565,1190,951,1980,1585,1470,225,24000,17000,,382
Piper,PA-23 F Turbo Aztec (prior to 1977),250,3323,144,5200,,215,55,565,1190,951,1980,1585,1470,225,24000,17000,,383
Piper,PA-23, B Aztec,250,2900,144,4800,187,178,54,770,750,900,1100,1260,1650,365,22500,7500,,384
Piper,PA-23-150 Apache,150,2180,72,3500,157,148,51,603,1190,670,1600,1360,1250,240,17000,5300,,385
Piper,PA-23-160 G,-H Apache,160,2230,72,3800,159,150,53,616,1190,750,1550,1360,1260,180,17000,5500,,386
Piper,PA-23-235 Apache,235,2735,144,4800,176,166,54,710,830,950,1280,1360,1450,220,17200,6600,,387
Piper,PA-24-180 Comanche,180,1530,60,2550,145,139,53,730,750,600,2240,1025,910,,18500,,,388
Piper,PA-24-250 Comanche,250,1690,60,2800,165,157,53,630,750,600,1650,1025,1350,,20000,,,389
Piper,PA-24-260,260,1728,60,2900,169,158,53,638,760,655,1040,1015,1370,,20000,,,390
Piper,PA-24-400 Comanche,400,2110,100,3600,194,185,59,756,980,1180,1500,1820,1600,,19500,,,391
Piper,PA-24-B-260,260,1728,60,3100,169,158,53,638,760,655,1040,1015,1370,,20000,,,392
Piper,PA-24-C 260 Comanche,260,1773,60,3200,170,161,53,628,820,690,1400,1200,1320,,19500,,,393
Piper,PA-25 150 Pawnee,150,1100,42,2300,98,83,50,400,625,400,1370,930,505,,11300,,,394
Piper,PA-25 235 C,D Pawnee (normal category),235,1576,36,2900,108,99,53,222,785,850,1350,1105,700,,14500,,,395
Piper,PA-25-260 C,D Pawnee (norm. cat.) c/spd prop,260,1488,38,2900,111,101,53,230,660,850,1200,1105,775,,15800,,,396
Piper,PA-28 140 B,C,D,E,150,1237,36,2150,123,117,48,480,800,535,1700,1080,660,,14300,,,397
Piper,PA-28 140 Cherokee (low gross),150,1180,36,1950,125,117,45,457,725,485,1150,850,820,,15000,,,398
Piper,PA-28 140 Cherokee Cruiser,150,1290,36,2150,124,110,48,455,800,535,1700,1080,631,,10950,,,399
Piper,PA-28 140-4 Cherokee (high gross),150,1180,36,2150,121,113,47,457,800,535,1220,870,660,,14300,,,400
Piper,PA-28 150 B 150 Cherokee,150,1205,36,2150,118,107,47,435,780,535,1750,890,660,,14300,,,401
Piper,PA-28 160 B 160 Cherokee,160,1210,36,2200,120,109,48,440,740,550,1700,890,700,,15000,,,402
Piper,PA-28 180 Challenger & Archer,180,1395,50,2450,129,123,53,507,720,635,1625,1185,725,,14150,,,403
Piper,PA-28 B 180 Cherokee,180,1230,50,2400,132,124,50,510,720,600,1620,1150,750,,16400,,,404
Piper,PA-28 C 150 Cherokee,150,1210,50,2150,125,117,47,690,780,535,1700,890,690,,14900,,,405
Piper,PA-28 C 160 Cherokee,160,1215,50,2200,127,119,48,703,740,550,1650,890,730,,15800,,,406
Piper,PA-28 C 180 Cherokee,180,1230,50,2400,132,124,50,510,720,600,1620,1150,750,,15700,,,407
Piper,PA-28 D 180 E,F,180,1310,50,2400,132,124,50,510,720,600,1620,1150,750,,16400,,,408
Piper,PA-28 D 180 G,180,1310,50,2400,132,124,50,510,720,600,1620,1150,750,,13000,,,409
Piper,PA-28-151 Warrior,150,1336,48,2325,117,110,44,626,1065,595,1760,1115,649,,12700,,,410
Piper,PA-28-151 Warrior (prior to 1977),150,1336,48,2325,117,110,58,626,1065,595,1760,1115,649,,12700,,,411
Piper,PA-28-161 Warrior II,160,1344,48,2325,126,118,44,525,975,595,1650,1160,644,,11000,,,412
Piper,PA-28-161 Warrior II (1979-1981),160,1344,48,2325,126,118,44,525,975,595,1650,1160,644,,14400,,,413
Piper,PA-28-180 R & RB Arrow,180,1380,50,2500,148,141,53,550,820,776,1240,1340,875,,15000,,,414
Piper,PA-28-181 Archer II,180,1416,48,2550,129,125,49,565,870,925,1210,1390,667,,13236,,,415
Piper,PA-28-181 Archer II (1979-1981),180,1416,48,2550,129,125,49,565,870,925,1210,1390,667,,15000,,,416
Piper,PA-28-200 R & RB Arrow,200,1459,50,2600,153,144,56,600,770,780,1600,1380,910,,16000,,,417
Piper,PA-28-201T Turbo Dakota,200,1579,72,2900,162,154,59,591,963,861,1402,1697,902,,20000,,,418
Piper,PA-28-235 B Cherokee,235,1435,50,2900,144,136,52,408,600,550,1040,1060,825,,14500,,,419
Piper,PA-28-235 C & D, E & F,235,1467,84,2900,144,136,52,710,800,680,1360,1300,825,,14500,,,420
Piper,PA-28-235 Charger,235,1550,84,3000,140,132,57,690,800,1040,1260,1740,800,,12000,,,421
Piper,PA-28-235 Pathfinder,235,1592,62,3000,140,126,53,485,800,1040,1260,1740,800,,13550,,,422
Piper,PA-28-236 Dakota,235,1608,72,3000,148,143,56,650,886,825,1216,1725,1110,,17500,,,423
Piper,PA-28R-,RT,-201T Turbo Arrow III,IV,200,1692,72,2900,177,172,61,695,1110,645,1620,1555,940,,20000,,,424
Piper,PA-30 B Turbo Twin Comanche,160,2408,120,3725,209,194,60,1100,950,700,1570,1875,1460,260,30000,19000,,425
Piper,PA-30 C Turbo Twin Comanche,160,2416,120,3725,214,209,60,1100,990,1250,1590,1900,1290,225,30000,17000,,426
Piper,PA-30 C Twin Comanche,160,2270,90,3600,178,172,60,785,940,1215,1530,1870,1460,260,20000,7100,,427
Piper,PA-30, B Twin Comanche,160,2210,90,3600,178,169,60,770,950,700,1570,1875,1460,260,18600,5800,,428
Piper,PA-31-300 Navajo,300,3605,150,6200,195,183,61,753,930,1115,1950,1690,1440,270,20500,5750,,429
Piper,PA-31-310 Turbo Navajo,310,3842,150,6500,226,215,62,840,890,1115,1760,1690,1395,245,26300,15800,,430
Piper,PA-31-325Navajo C/R,325,4099,183,6500,228,202,70,899,1000,906,2250,1818,1220,255,24000,15300,,431
Piper,PA-31-350 Chieftain,350,4221,182,7000,230,211,74,883,1350,1045,2510,1880,1120,230,24000,13700,,432
Piper,PA-31P-350 Mojave,350,5070,238,7200,242,220,75,1190,2190,1395,3035,2305,1220,255,26500,14300,,433
Piper,PA-31T IA Cheyenne IA,500,5110,366,8700,261,247,71,861,1429,1589,2444,2263,1750,440,28200,13750,,434
Piper,PA-31T-620 Cheyenne II,620,5018,382,9000,283,269,75,1444,1410,1430,1980,2480,2710,660,31600,14600,,435
Piper,PA-32-260(1974-78),260,1784,84,3400,148,137,55,834,1200,640,1800,1000,775,,12800,,,436
Piper,PA-32-300,300,1846,50,3400,156,151,55,744,900,630,1350,1000,1050,,17100,,,437
Piper,PA-32-300 (1979),300,1846,94,3400,156,151,55,744,900,630,1350,1000,1050,,17100,,,438
Piper,PA-32-300,B,C,D,E Cherokee Six (thru 1972),300,1789,50,3400,151,146,55,673,1050,630,1500,1000,1050,,16250,,,439
Piper,PA-32-301 Saratoga (2-blade prop),300,1940,102,3600,152,150,58,745,1183,732,1759,1612,990,,14100,,,440
Piper,PA-32-301T Turbo Saratoga (2-blade prop),300,2003,102,3600,178,165,58,627,1110,732,1590,1725,1075,,20000,,,441
Piper,PA-32R,RT II-300 Lance,300,1968,94,3600,165,156,61,748,1450,880,2360,1710,1000,,15400,,,442
Piper,PA-32R-301 Saratoga SP (3-blade prop),300,1999,102,3600,163,158,57,784,1013,732,1573,1612,1116,,15588,,,443
Piper,PA-32R-301T Turbo Saratoga SP (3-blade prop),300,2078,102,3600,295,177,57,784,960,732,1420,1725,1120,,20000,,,444
Piper,PA-32RT-300T Turbo Lance II,300,2071,94,3600,189,175,61,648,1410,1050,1875,1760,1050,,20000,,,445
Piper,PA-34-200 C/R Seneca (1972),200,2586,100,4000,170,162,58,685,750,705,1140,1335,1460,230,20000,6600,,446
Piper,PA-34-200T C/R Turbo Seneca II,200,2841,93,4570,196,177,62,725,870,1380,1240,2110,1340,225,25000,13400,,447
Piper,PA-34-220T Seneca III;IV,220,2852,93123,4750,196,191,64,725,920,1400,1210,1978,1400,240,25000,12000,,448
Piper,PA-36-285 Brave (normal category),285,2140,87,3900,131,128,54,660,875,700,1410,1650,790,,13000,,,449
Piper,PA-38 Tomahawk,112,1128,30,1670,109,108,49,384,820,707,1460,1544,718,,13000,,,450
Piper,PA-38 Tomahawk (prior to 1980),112,1128,30,1670,109,108,49,384,820,707,1460,1544,718,,12000,,,451
Piper,PA-39 C/R Turbo Twin Comanche,160,2416,120,3725,214,192,61,1188,990,725,1590,1900,1290,225,25000,12600,,452
Piper,PA-39 C/R Twin Comanche,160,2270,90,3600,178,172,61,785,940,700,1530,1870,1460,260,20000,7100,,453
Piper,PA-42-1000 Cheyenne 400LS,1000,7856,3819,12050,351,334,,1879,0,0,1930,2280,3242,997,41000,28700,,454
Piper,PA-42-720 Cheyenne III (prior to 1982),720,6389,382,11200,290,275,87,1515,2560,1770,3230,3017,2236,531,32000,18200,,455
Piper,PA-42-720 Cheyenne III A,720,6837,578,11200,312,288,89,1722,1465,1914,2280,3043,2380,625,35840,23200,,456
Piper,PA-42-720 Cheyenne III(after 1982),720,6389,390,11200,290,275,87,1515,2560,1770,3230,3017,2236,531,32000,18200,,457
Piper,PA-44-180 Seminole,180,2406,108,3800,202,157,55,681,880,590,1520,1238,1340,212,15000,3800,,458
Piper,PA-44-180T Turbo Seminole,180,2461,108,3925,195,183,56,850,900,590,1500,1400,1290,180,20000,12500,,459
Piper,PA-46-310P Malibu,310,2460,120,4100,203,187,50,1261,1440,1070,2025,1800,1143,,25000,,,460
Piper,PA-46-350P Malibu Mirage,350,2790,120,4300,232,201,60,1261,1530,1018,2375,1964,1218,,25000,,,461
Piper,PA28R-201 Arrow III, 28RT-201 Arrow IV,200,1637,72,2750,149,138,55,695,1025,615,1600,1525,831,,16200,,,462
Piper,PA31 P Press Navajo (after 1977),425,5004,186,7800,243,220,73,690,1440,1370,2200,2700,1740,240,29000,12100,,463
Piper,PA31 P Press Navajo (prior to 1977),425,5004,192,7800,243,220,73,690,1440,1370,2200,2700,1740,240,29000,12100,,464
PZL,PZL-104 Wilga 80,260,2085,44,2886,,88,35,250,365,509,800,850,925,,12000,,,465
